Country,Number of banks responding  ,Loan market share (respondents share out of total system) 2004,Physical access_Locations to submit loan applications (out of 5),Affordability_Minimum amount consumer loan (% of GDPPC),Affordability_Fees consumer loan (% of min. loan amount),Affordability_Minimum amount mortgage loan (% of GDPPC),Affordability_Fee mortgage loan (% of min. loan amount),Eligibility_Days to process consumer loan applications,Eligibility_Days to process mortgage loan applications
Mexico,3,45.74%,4.2,7.54,1.81,298.56,1.4,5.01,28.25
Moldova ,3,48.32%,2.54,31.11,2.05,428.58,1.09,1.36,3.9
Mozambique,2,40.34%,2.15,30.71,1,71.53,1,8.66,34.21
Nepal,5,42.40%,2,1153.17,0.94,2147.93,1,3.71,9.5
Nigeria,3,29.31%,2.78,81.79,3.83,408.96,3.67,3.59,14.75
Pakistan,3,44.02%,3.09,146.71,0.14,954.59,0.08,20.71,28.44
Peru,4,76.40%,3.21,21.08,1.83,410.39,6.5,1.94,3.81
Philippines,4,43.17%,2.36,330.55,1.46,763.35,4.37,10.13,12.21
Poland,2,28.77%,3.43,3.66,6.15,32.5,2.27,3,9.35
Romania,4,24.66%,2,6.1,5.51,197.64,1.07,2.53,14.35
Sierra Leone,4,100.00%,1.77,143.55,2.07,5157.4,1,1.73,4.66
Slovak Republic  ,3,51.93%,3.64,10.26,0.6,71.15,0.85,1.75,4.67
Slovenia,5,70.68%,2.13,1.13,1.22,94.9,1.3,1.13,7.6
South Africa,3,69.39%,5,7.27,0.48,142.37,0.47,1.46,5.55
Spain,4,66.73%,5,9.95,1.85,100.19,0.89,1,3.22
Sri Lanka,3,51.10%,2.9,36.1,0.34,51.64,1.83,7.34,20.61
Sweden,2,22.43%,4.28,1.14,0.21,11.49,0.11,1.72,1.72
Switzerland,2,59.19%,3.12,0.11,0,22.57,0,1.44,1.56
Thailand,3,36.16%,2,265.43,1.43,42.74,0.6,15.49,24.59
Trinidad and Tobago  ,3,50.27%,4.62,7.71,1.33,93.03,1.02,1.33,7.5
Tunisia,2,29.08%,2,18.41,0.8,18.41,1.4,9,45
Turkey,3,38.33%,4.15,11.83,0.95,165.37,2.16,2.94,5
Uganda,3,46.87%,2,205.75,2.68, —  , —  ,1.38, —  
United Kingdom,2,18.46%,5,6.05,1.11,59.56,1.66,1,14.32
Uruguay,4,59.16%,2.26,32.62,0,355.97,1.57,8.51,14.42
"Venezuela, R. B. de",2,29.26%,2,0,0,0,0,9.15,19.65
Zambia,3,34.41%,2, —  ,2.41, —  , —  , —  , —  
Zimbabwe,4,43.45%,2.85,24.08,3.05, —  , —  ,1.46, —  
